State,County,inf_total,inf_mar,inf_apr,inf_may,inf_jun,inf_jul,inf_aug,inf_sep_13,inf_by_pop,death_mar,death_apr,death_may,death_jun,death_jul,death_aug,death_sep,deaths,death_rate_by_pop,Demographics,total_pop,perc_non_white,med_income,perc_below_poverty_level,unemployment,Voting,num_polls,polls_per_person,early_vote_duration,same_day_reg,vra_provision,Election,perc_trump_2020,perc_rep_gov_2020,gov_rep_incumbent_2020,2020_turnout,2020_registered,perc_trump_2016,perc_rep_gov_2016,gov_incumbent_2016,2016_turnout,2016_registered,difference_turnout_2020_minus_2016,difference_trump_perc_2020_minus_2016,difference_gop_gov_perc_2020_minus_2016
North Carolina,Franklin,1143,11,104,159,345,762,1056,1143,0.0172237,0,19,21,21,25,29,30,30,0.00045207,,66362,0.2986115,41696,0.127,0.059,,22,0.0003402,16,0,1,,0.5596,0.5195,1,0.7866,47720,0.539,0.5241,0,0.702,43547,0.0846,0.0206,-0.0046
North Carolina,Gaston,4546,29,139,281,1083,2939,4091,4546,0.0207323,0,3,7,11,33,63,70,70,0.00031924,,219271,0.2079521,42017,0.142,0.067,,52,0.00024,16,0,1,,0.6323,0.6018,1,0.7639,151667,0.6409,0.626,0,0.6781,142790,0.0858,-0.0086,-0.0242
North Carolina,Gates,108,0,7,23,27,41,84,108,0.0093523,0,0,1,2,2,3,3,3,0.00025979,,11548,0.3532717,46592,0.152,0.051,,8,0.0006915,16,0,1,,0.5639,0.5331,1,0.717,8364,0.533,0.5434,0,0.6351,8584,0.0819,0.0309,-0.0103
North Carolina,Graham,117,0,2,2,9,23,55,117,0.0137501,0,0,0,0,0,0,0,0,0,,8509,0.1052632,33903,0.189,0.073,,4,0.0004689,16,0,0,,0.7953,0.7513,1,0.7744,6081,0.7882,0.6842,0,0.6592,6432,0.1152,0.0071,0.0671
North Carolina,Granville,1640,9,136,306,798,1144,1529,1640,0.0276429,0,5,10,19,25,43,48,48,0.00080906,,59328,0.3562811,49852,0.13,0.05,,18,0.0003067,16,0,1,,0.5268,0.4885,1,0.7923,39985,0.4969,0.4877,0,0.7225,38036,0.0698,0.0299,0.0008
North Carolina,Greene,478,3,16,78,173,297,414,478,0.0227262,0,0,2,2,3,4,5,5,0.00023772,,21033,0.4171174,40853,0.235,0.051,,11,0.0005219,16,0,1,,0.5568,0.5355,1,0.7711,11388,0.5403,0.5443,0,0.7097,11447,0.0614,0.0165,-0.0088
North Carolina,Guilford,7673,52,381,1264,2812,5093,6861,7673,0.0145358,1,26,65,114,142,170,174,174,0.00032963,,527868,0.4270989,45431,0.154,0.072,,190,0.0003624,16,0,1,,0.6084,0.3467,1,0.7442,383779,0.381,0.3696,0,0.7082,365522,0.036,0.2274,-0.0229
North Carolina,Halifax,922,4,56,180,311,610,862,922,0.0180113,0,1,1,4,6,11,17,17,0.0003321,,51190,0.597742,32329,0.22,0.086,,25,0.0004825,16,0,1,,0.3913,0.3659,1,0.6812,37956,0.3588,0.3526,0,0.6518,38778,0.0294,0.0325,0.0133
North Carolina,Harnett,1861,18,155,288,630,1094,1625,1861,0.0140683,1,7,27,30,36,46,49,49,0.00037042,,132283,0.282076,44625,0.144,0.064,,18,0.0001377,16,0,1,,0.6035,0.569,1,0.7102,82298,0.5995,0.5918,0,0.6303,73420,0.0799,0.004,-0.0228
North Carolina,Haywood,555,0,10,46,90,276,511,555,0.0090905,0,0,0,0,3,25,31,31,0.00050776,,61053,0.0373148,41557,0.131,0.057,,32,0.0005298,16,0,0,,0.6249,0.5811,1,0.79,46445,0.616,0.546,0,0.6989,44289,0.0911,0.0089,0.0351
North Carolina,Henderson,1829,18,177,344,610,1365,1697,1829,0.0159164,0,20,45,50,54,60,65,65,0.00056565,,114913,0.0717713,44815,0.097,0.052,,39,0.0003434,16,0,0,,0.5855,0.5577,1,0.7841,87557,0.6155,0.5828,0,0.7104,82496,0.0737,-0.03,-0.0251
North Carolina,Hertford,638,4,37,120,162,273,549,638,0.02657,0,1,2,10,11,14,24,24,0.0009995,,24012,0.6392664,33406,0.232,0.062,,16,0.0006609,16,0,1,,0.3272,0.3106,1,0.7112,15048,0.3042,0.3243,0,0.6704,15252,0.0408,0.023,-0.0137
North Carolina,Hoke,975,4,80,240,371,659,874,975,0.0180699,0,0,1,3,8,12,13,13,0.00024093,,53957,0.4987071,45489,0.18,0.08,,17,0.0003209,16,0,1,,0.4369,0.3937,1,0.6538,33233,0.4257,0.4338,0,0.5678,32243,0.086,0.0112,-0.0401
North Carolina,Hyde,123,0,1,1,11,37,96,123,0.0235949,0,0,0,0,0,0,3,3,0.00057548,,5213,0.3174457,42279,0.222,0.066,,9,0.0016562,16,0,0,,0.569,0.5441,1,0.7903,3171,0.559,0.5482,0,0.6775,3432,0.1128,0.01,-0.0041
North Carolina,Iredell,2549,25,111,259,764,1661,2336,2549,0.0145211,0,5,5,7,16,24,25,25,0.00014242,,175538,0.1720339,50329,0.095,0.058,,34,0.0001971,16,0,0,,0.6546,0.6271,1,0.7855,130794,0.6631,0.6216,0,0.7057,117563,0.0798,-0.0085,0.0055
North Carolina,Jackson,520,0,13,32,113,389,492,520,0.0121105,0,0,1,1,3,7,7,7,0.00016303,,42938,0.1494064,36951,0.167,0.053,,20,0.0004692,16,0,1,,0.53,0.4928,1,0.7267,29593,0.528,0.4726,0,0.6698,28195,0.0569,0.002,0.0202
North Carolina,Johnston,4167,15,150,456,1541,2964,3888,4167,0.0211663,1,12,21,32,44,52,54,54,0.00027429,,196870,0.2013173,49711,0.117,0.053,,41,0.0002148,16,0,0,,0.6138,0.579,1,0.7775,143693,0.6359,0.6177,0,0.7052,122451,0.0723,-0.0221,-0.0387
North Carolina,Jones,142,0,14,26,35,58,136,142,0.0148009,0,2,3,3,3,7,11,11,0.00114655,,9594,0.3377138,36213,0.162,0.052,,8,0.0008344,16,0,0,,0.5937,0.5675,1,0.7499,7398,0.5792,0.5869,0,0.6924,7451,0.0575,0.0145,-0.0194
North Carolina,Lee,1524,2,156,455,823,1141,1432,1524,0.025198,0,0,4,8,9,12,13,13,0.00021494,,60481,0.2524394,44819,0.157,0.065,,12,0.0002012,16,0,1,,0.5677,0.5175,1,0.752,38705,0.5466,0.5221,0,0.7108,35476,0.0412,0.0211,-0.0046
North Carolina,Lenoir,898,3,65,216,368,522,797,898,0.0158221,0,3,7,11,11,16,22,22,0.00038762,,56756,0.4431866,35770,0.221,0.058,,28,0.0004892,16,0,1,,0.5136,0.4905,1,0.7402,38539,0.5141,0.5215,0,0.6848,39578,0.0554,-0.0005,-0.031
North Carolina,Lincoln,1355,4,26,69,252,721,1105,1355,0.0163412,0,0,0,1,3,12,13,13,0.00015678,,82919,0.0834185,48940,0.103,0.053,,25,0.0003078,16,0,0,,0.7237,0.6927,1,0.8043,62638,0.7197,0.6916,0,0.7208,55825,0.0835,0.004,0.0011
North Carolina,Macon,562,0,3,70,282,439,540,562,0.0261408,0,1,1,1,2,2,2,2,0.000093,,21499,0.0380025,38598,0.17,0.051,,15,0.000702,16,0,0,,0.6851,0.6446,1,0.7668,27162,0.6019,0.6116,0,0.6944,25754,0.0724,0.0832,0.033
North Carolina,Madison,84,0,1,3,12,38,69,84,0.0036763,0,0,0,0,0,1,1,1,0.0000438,,22849,0.4491826,35111,0.203,0.054,,14,0.0006055,16,0,0,,0.6102,0.5633,1,0.7609,17264,0.4929,0.5419,0,0.6722,16927,0.0887,0.1173,0.0214
North Carolina,Martin,396,2,16,72,131,236,347,396,0.0087558,0,0,4,4,6,7,9,9,0.000199,,45227,0.0707886,35297,0.154,0.067,,20,0.0004458,16,0,1,,0.5209,0.4918,1,0.7619,16516,0.733,0.5016,0,0.693,17338,0.0689,-0.2121,-0.0098
North Carolina,McDowell,859,7,22,73,235,573,788,859,0.0246747,0,1,1,1,8,24,25,25,0.00071812,,34813,0.0455607,37892,0.163,0.056,,17,0.0004962,16,0,0,,0.7339,0.6883,1,0.7721,29895,0.6838,0.6643,0,0.6786,29434,0.0935,0.0501,0.024
North Carolina,Mecklenburg,27087,420,1627,4250,11170,20502,25556,27087,0.0252095,1,49,89,150,202,295,339,339,0.0003155,,1074475,0.4188983,55444,0.117,0.065,,217,0.0002053,16,0,0,,0.316,0.3032,1,0.719,792076,0.3289,0.3418,0,0.6694,710604,0.0496,-0.0129,-0.0386
North Carolina,Mitchell,97,0,5,14,32,74,93,97,0.0064649,0,0,0,0,2,3,3,3,0.00019995,,15004,0.0345425,37680,0.161,0.063,,11,0.0007335,16,0,0,,0.7842,0.7585,1,0.8159,11139,0.7759,0.726,0,0.7193,11352,0.0966,0.0083,0.0325
North Carolina,Montgomery,979,6,33,128,309,569,885,979,0.035924,0,1,4,7,13,18,23,23,0.00084398,,27252,0.2316765,31830,0.167,0.057,,17,0.0006227,16,0,0,,0.6546,0.5943,1,0.7576,17023,0.6179,0.5793,0,0.7147,16262,0.0429,0.0367,0.015
North Carolina,Moore,1453,8,79,205,458,872,1305,1453,0.0149341,0,3,10,13,20,21,22,22,0.00022612,,97294,0.1710078,49544,0.105,0.054,,31,0.0003249,16,0,0,,0.6302,0.5903,1,0.7917,74032,0.6262,0.6125,0,0.7423,66041,0.0494,0.004,-0.0222
North Carolina,Nash,1951,9,90,204,469,994,1661,1951,0.0207487,0,3,4,6,10,22,31,31,0.00032968,,94030,0.441061,43084,0.142,0.075,,28,0.000298,16,0,1,,0.4941,0.461,1,0.7634,68677,0.4892,0.472,0,0.7171,66763,0.0463,0.0049,-0.011
North Carolina,New Hanover,3655,28,75,195,897,2285,3031,3655,0.0160351,0,3,5,5,19,21,25,25,0.00010968,,227938,0.1833868,49835,0.153,0.055,,48,0.0002135,16,0,0,,0.4804,0.4517,1,0.7461,177350,0.4946,0.4616,0,0.6626,169930,0.0835,-0.0142,-0.0099
North Carolina,Northampton,379,30,82,147,181,274,338,379,0.0190013,0,4,14,15,16,17,17,17,0.0008523,,19946,0.5986983,31433,0.214,0.068,,22,0.0010931,16,0,1,,0.3946,0.3658,1,0.7289,13938,0.3637,0.3996,0,0.6646,14894,0.0643,0.0309,-0.0338
North Carolina,Onslow,1696,7,45,110,284,890,1474,1696,0.0086944,1,1,2,3,10,12,18,18,0.0000923,,195069,0.2337271,45450,0.151,0.061,,28,0.0001456,16,0,1,,0.6379,0.6133,1,0.618,117214,0.6497,0.6512,0,0.5399,106217,0.0781,-0.0118,-0.0379
North Carolina,Orange,2519,35,216,348,669,1266,2268,2519,0.0173921,0,16,40,41,45,50,54,54,0.00037284,,144836,0.2330182,55569,0.124,0.045,,49,0.0003431,16,0,0,,0.2374,0.2218,1,0.7623,111869,0.2254,0.2336,0,0.711,116482,0.0513,0.012,-0.0118
North Carolina,Pamlico,219,1,7,10,21,54,155,219,0.0172427,0,0,0,0,1,2,2,2,0.00015747,,12701,0.222875,43853,0.166,0.053,,11,0.0008617,16,0,0,,0.6354,0.6126,1,0.7834,9770,0.6198,0.6239,0,0.7085,9744,0.0749,0.0156,-0.0113
North Carolina,Pasquotank,627,4,36,105,203,346,548,627,0.0158678,0,1,11,15,17,23,26,26,0.000658,,39514,0.4117841,46053,0.182,0.062,,10,0.0002539,16,0,1,,0.491,0.477,1,0.6951,28723,0.4704,0.4698,0,0.6095,28653,0.0856,0.0206,0.0072
North Carolina,Pender,831,0,13,80,247,610,768,831,0.0137585,0,0,1,1,3,4,5,5,0.0000828,,60399,0.1953685,44524,0.151,0.054,,26,0.0004424,16,0,0,,0.6426,0.6133,1,0.763,44925,0.6326,0.6046,0,0.6998,40026,0.0632,0.01,0.0087
North Carolina,Perquimans,161,1,13,24,36,64,138,161,0.0119881,0,0,2,2,2,2,3,3,0.00022338,,13430,0.2568273,43709,0.158,0.054,,8,0.0005969,16,0,1,,0.6551,0.6366,1,0.7711,9754,0.6227,0.6311,0,0.6615,10185,0.1096,0.0324,0.0055
